Oras,Judet,Numar,Tip Artera,Nume Artera,Suprafata construita,Suprafata teren,An constructie,Pret
Bucuresti,Bucuresti,1,Strada,Strada Lapus,538,750,2009,630000
Bucuresti,Bucuresti,1,Drumul,Drumul Maracineni,700,1,2013,750000
Bucuresti,Bucuresti,1,Calea,Calea Giulesti,173,250,2000,200000
Bucuresti,Bucuresti,1,Strada,Strada Cactusului,250,452,2010,179000
Bucuresti,Bucuresti,1,Strada,Strada Sfantul Gheorghe,636,365,2000,1900000
Bucuresti,Bucuresti,1,Drumul,Drumul Valea Danului,215,328,2009,215000
Bucuresti,Bucuresti,1,Strada,Strada Caporal Costescu Petre,300,272,2007,259000
Bucuresti,Bucuresti,1,Strada,Strada Zarnesti,140,250,2019,150000
Bucuresti,Bucuresti,1,Strada,Strada Sirenelor,999,328,2008,840000
Bucuresti,Bucuresti,1,Strada,Strada Blandiana,505,390,1996,455000
Bucuresti,Bucuresti,1,Strada,Strada Mircea Vulcanescu,200,110,1930,335000
Bucuresti,Bucuresti,1,Sectorul,Sectorul 2,350,220,2017,475000
Bucuresti,Bucuresti,1,Aparatorii,Aparatorii Patriei,320,285,2007,259000
Bucuresti,Bucuresti,1,Soseaua,Soseaua Tudor Vladimirescu,214,1,1999,150000
Bucuresti,Bucuresti,1,Strada,Strada Doamna Ghica,176,110,2007,198000
Bucuresti,Bucuresti,1,Strada,Strada Alunului,300,250,2009,146000
Bucuresti,Bucuresti,1,Strada,Strada Spatarul Nicolae Milescu,230,270,1937,300000
Bucuresti,Bucuresti,1,Bulevardul,Bulevardul Uverturii,200,200,2000,105900
Bucuresti,Bucuresti,1,Strada,Strada Mircea Vulcanescu,201,776,2000,210000
Bucuresti,Bucuresti,1,Drumul,Drumul Cheile Turzii,300,267,2009,215000
Bucuresti,Bucuresti,1,Strada,Strada Binoclului,650,700,2013,685000
Bucuresti,Bucuresti,1,Cotroceni,Cotroceni,635,515,1940,985000
Bucuresti,Bucuresti,1,Strada,Strada Sevastopol,742,980,1850,1200000
Bucuresti,Bucuresti,1,Strada,Strada Niagara,220,240,2015,244500
Bucuresti,Bucuresti,1,Strada,Strada Lapus,538,750,2009,630000
Bucuresti,Bucuresti,1,Aleea,Aleea Alexandru,"635,60",365,1930,1900000
Bucuresti,Bucuresti,1,Strada,Strada Sergent Constantin Apostol,245,331,2007,179500
Bucuresti,Bucuresti,1,Bulevardul,Bulevardul Marasesti,220,260,2006,295000
Bucuresti,Bucuresti,1,Sectorul,Sectorul 3,635,438,2007,1050000
Bucuresti,Bucuresti,1,Strada,Strada Albitei,200,175,2004,179000
Bucuresti,Bucuresti,1,Aparatorii,Aparatorii Patriei,200,252,2007,199000
Bucuresti,Bucuresti,1,Calea,Calea Bucurestilor,450,400,1997,315000
Bucuresti,Bucuresti,1,Strada,Strada Olteniei,500,350,2000,399000
Bucuresti,Bucuresti,1,Strada,Strada Sergent Nicolae Florescu,200,164,2019,170000
Bucuresti,Bucuresti,1,Strada,Strada Viscolului,273,300,2016,269000
Bucuresti,Bucuresti,1,Strada,Strada Stefan Dimitrescu Pictor,240,150,2012,292000
Bucuresti,Bucuresti,1,Strada,Strada Stefan Dimitrescu Pictor,230,375,1997,239000
Bucuresti,Bucuresti,1,Drumul,Drumul Ghindarilor,208,250,2018,115000
