ID,Oras,Judet,Tip Artera,Nume Artera,Numar,Suprafata,Suprafata2,An,Finisaje,Latitudine,Longitudine,"Pret","Preț unitar
(€/m²)"
1,Sugag,Alba,,,,95.45,767,1990,inferior,45.67843158,23.5857871,25000,261.92
2,Sugag,Alba,,,,172.5,2300,1998,standard,45.77756454,23.6209612,50000,289.86
3,Salistea,Alba,,,,172.5,500,2012,standard,45.83655179,23.36840607,50000,289.86
4,Garbova,Alba,,,,143.75,3400,<2000,standard,45.85222445,23.77433696,39500,274.78
5,Sasciori,Alba,,,,101.2,2834,2013,standard,45.85632264,23.55253423,51000,503.95
6,Ceru Bacainti,Alba,,,,220,1200,2005,standard,45.88264908,23.35641272,62000,281.82
7,Sasciori,Alba,,,,200,1350,2014,standard,45.88811525,23.56412137,70000,350
8,Sancel,Alba,,,,200,1350,2014,standard,45.88815448,23.56237259,70000,350
9,Garbova,Alba,,,,74.5,2301,1940,standard,45.90450914,23.62070003,23500,315.44
10,Sugag,Alba,,,,74.5,2301,1940,standard,45.9045393,23.61863054,23500,315.44
11,Pianu,Alba,,,,210,800,1990,standard,45.9050968,23.47670585,39500,188.1
12,Pianu,Alba,,,,161,1350,165,inferior,45.90759128,23.39652955,35800,222.36
13,Sasciori,Alba,,,,160,450,>2000,standard,45.91803866,23.55974401,60000,375
14,Pianu,Alba,Strada,Crisan,471,285,2118,<2000,standard,45.93494816,23.48946062,38499,135.08
15,Salistea,Alba,,,,172.5,1000,>2000,standard,45.9378918,23.35955475,55000,318.84
16,Garbova,Alba,,,,112.7,1439,<1990,inferior,45.94331735,23.66610447,35000,310.56
17,Blaj,Alba,,,,244,500,2010,superior,45.94889448,23.56684295,105000,430.33
18,Blaj,Alba,,,,159,290,2014,superior,45.95106764,23.56807133,89000,559.75
19,Ceru Bacainti,Alba,,,,172.5,1400,>2000,standard,45.97325865,23.16756848,63000,365.22
20,Salistea,Alba,,,,149.5,2000,2019,standard,45.97825854,23.38507112,31000,207.36
21,Ceru Bacainti,Alba,,,,150,2000,2019,standard,45.97863166,23.38543449,31000,206.67
22,Ciugud,Alba,,,,55,1400,<1990,inferior,46.00575278,23.6664906,23000,418.18
23,Daia Romana,Alba,,,,216,1082,<1990,standard,46.00625866,23.66946043,59500,275.46
24,Daia Romana,Alba,,,,143.75,4000,1976,standard,46.01198153,23.7429315,40000,278.26
25,Daia Romana,Alba,,,,75,1200,<1977,inferior,46.03105347,23.72010053,12000,160
26,Ciugud,Alba,,,,90,1140,1955,standard,46.04693265,23.61233144,49000,544.44
27,Bucerdea Granoasa,Alba,,,,245,2450,2008,standard,46.04729149,23.61335925,89000,363.27
28,Ciugud,Alba,,,,98,1520,<2000,standard,46.04782623,23.61318974,58000,591.84
29,Almasu Mare,Alba,,,,70,5800,<1990,inferior,46.05542085,23.07967071,23000,328.57
30,Almasu Mare,Alba,,,,115,1000,1966,inferior,46.0561356,23.081044,16000,139.13
31,Alba Iulia,Alba,,,,150,200,2019,superior,46.05808865,23.55990499,93000,620
32,Alba Iulia,Alba,,,,200,400,2011,standard,46.05808865,23.56059164,107000,535
33,Alba Iulia,Alba,,,,210,220,2018,standard,46.05874381,23.55930417,106000,504.76
34,Alba Iulia,Alba,Strada,Ion Arion,,220,300,197,inferior,46.06746327,23.58821047,77000,350
35,Alba Iulia,Alba,Strada,Fantanele,34,300,1438,1991,standard,46.06768352,23.55323564,249000,830
36,Alba Iulia,Alba,,,,140,755,1980,standard,46.06994279,23.55541825,150000,1071.43
37,Berghin,Alba,,,,92,5200,<1990,inferior,46.07117618,23.7895859,31000,336.96
38,Alba Iulia,Alba,Strada,Horea,36,120,400,<1990,standard,46.07187524,23.56634912,128000,1066.67
39,Berghin,Alba,,,,50,10000,>2000,standard,46.07200982,23.7367142,10000,200
40,Alba Iulia,Alba,,,,140,796,1986,standard,46.07420307,23.58992754,84000,600
41,Alba Iulia,Alba,,,,200,1800,1970,standard,46.07456033,23.58906923,139000,695
42,Alba Iulia,Alba,,,,180,546,2008,standard,46.07456777,23.58918248,99000,550
43,Alba Iulia,Alba,,,,120,173,2010,standard,46.0745901,23.58906923,80000,666.67
44,Alba Iulia,Alba,,,,500,500,>2000,standard,46.07466648,23.5892615,290000,580
45,Alba Iulia,Alba,,,,270,750,1978,standard,46.07489125,23.58785512,180000,666.67
46,Berghin,Alba,,,,172.5,720,>2000,standard,46.07701141,23.67113955,109000,631.88
47,Alba Iulia,Alba,,,,180,546,2008,standard,46.08156365,23.5872446,90000,500
48,Alba Iulia,Alba,,,,280,600,2010,standard,46.08182794,23.58753084,145000,517.86
49,Alba Iulia,Alba,,,,150,250,2018,standard,46.08186133,23.5872446,85000,566.67
50,Alba Iulia,Alba,,,,250,900,1998,standard,46.08702658,23.56998795,135000,540
51,Alba Iulia,Alba,,,,250,900,1998,standard,46.0885065,23.56964365,125000,500
52,Alba Iulia,Alba,,,,100,2800,<1990,inferior,46.09918858,23.59560745,63000,630
53,Berghin,Alba,,,,69,1600,<1990,inferior,46.1028457,23.72950442,15700,227.54
54,Alba Iulia,Alba,,,,100,1500,1955,inferior,46.10334476,23.55185992,54000,540
55,Valea Lunga,Alba,,,,103.5,1500,<1990,standard,46.10378146,24.05464708,27500,265.7
56,Alba Iulia,Alba,,,,101.2,2450,1956,standard,46.10531016,23.55623894,70000,691.7
57,Almasu Mare,Alba,,,,160,2100,1971,standard,46.1094778,23.11606292,52000,325
58,Berghin,Alba,,,,144,1000,<1990,inferior,46.11391384,23.65380175,42000,291.67
59,Ighiu,Alba,,,,98,650,2010,standard,46.11413787,23.6553511,54500,556.12
60,Sancel,Alba,,,,184,2600,>2000,standard,46.12317777,24.03667297,65000,353.26
61,Ighiu,Alba,,,,150,2100,2012,standard,46.12441493,23.52960335,79000,526.67
62,Bucerdea Granoasa,Alba,,,,57.5,1800,1970,inferior,46.15679527,23.87842312,25000,434.78
63,Sancel,Alba,,,,170,700,2017,standard,46.15691501,23.685062,74900,440.59
64,Bucerdea Granoasa,Alba,,,,138,700,2016,standard,46.15851771,23.68944856,74900,542.75
65,Berghin,Alba,,,,170,700,>2000,superior,46.15899649,23.72452624,74900,440.59
66,Ighiu,Alba,,,,170,700,>2000,standard,46.15908309,23.68512872,74900,440.59
67,Bucerdea Granoasa,Alba,,,,80.5,2389,<1990,inferior,46.15988678,23.72631244,26700,331.68
68,Bucerdea Granoasa,Alba,,,,115,1200,<1990,inferior,46.16083798,23.72699908,37000,321.74
69,Galda De Jos,Alba,,,,170,700,>2000,superior,46.16104995,23.72652704,74900,440.59
70,Cricau,Alba,,,,93,1417,1930,inferior,46.1738058,23.56907074,20000,215.05
208,Homocea,Vrancea,,,,333,350,1996,standard,46.1343336,27.2419739,40000,120.12
